Max Drawdown [%],85.75454537478797,69.22609046804463,64.34754177214295,80.936346593335,65.27163441917872,87.00823364097826,76.50503634203478,65.85112221924419,83.0792338176817,78.2942991408414,90.51047266193216,90.98993258698411,75.45872319265489,65.88579683802077,85.43704634175457,76.63281698798531,59.981918441205394,63.543530220093814,49.64570718721129,56.47361411092723,63.34390853655321,82.29647434359111,55.89369559086593,58.595290514182274,75.03560262423251,60.35292400941046,83.67559639023834,58.23402094490171,58.61547444430669,75.94901524774716,60.352924009410444,87.37784407774785,68.17395791256925,59.43931249253808,85.39553347112992,71.7985004535171,88.21810414631885,75.70354370895714,61.224023467726795,81.20729535531427,71.8555869606829
Max Drawdown Duration,1127 days 00:00:00,1096 days 00:00:00,1090 days 00:00:00,995 days 00:00:00,681 days 00:00:00,1129 days 00:00:00,1108 days 00:00:00,977 days 00:00:00,925 days 00:00:00,738 days 00:00:00,1130 days 00:00:00,1130 days 00:00:00,1105 days 00:00:00,977 days 00:00:00,926 days 00:00:00,737 days 00:00:00,374 days 00:00:00,1097 days 00:00:00,759 days 00:00:00,785 days 00:00:00,423 days 00:00:00,1126 days 00:00:00,527 days 00:00:00,1086 days 00:00:00,923 days 00:00:00,423 days 00:00:00,1127 days 00:00:00,552 days 00:00:00,1086 days 00:00:00,923 days 00:00:00,423 days 00:00:00,1130 days 00:00:00,557 days 00:00:00,974 days 00:00:00,926 days 00:00:00,720 days 00:00:00,1130 days 00:00:00,1097 days 00:00:00,975 days 00:00:00,925 days 00:00:00,719 days 00:00:00
Total Trades,60,49,41,49,48,61,57,44,61,57,65,66,55,45,61,58,42,38,32,27,30,49,39,36,39,32,49,40,36,39,33,53,45,39,49,47,58,50,40,49,46
Total Closed Trades,60,49,41,49,48,61,57,44,61,57,65,66,55,45,61,58,42,38,32,27,30,49,39,36,39,32,49,40,36,39,33,53,45,39,49,47,58,50,40,49,46
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade P&L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],28.333333333333332,28.57142857142857,39.02439024390244,18.367346938775512,18.75,27.86885245901639,26.31578947368421,34.090909090909086,22.950819672131146,17.543859649122805,26.153846153846157,25.757575757575758,27.27272727272727,33.33333333333333,22.950819672131146,17.24137931034483,33.33333333333333,26.31578947368421,40.625,25.925925925925924,30.0,28.57142857142857,35.8974358974359,38.88888888888889,20.51282051282051,28.125,28.57142857142857,32.5,38.88888888888889,20.51282051282051,27.27272727272727,28.30188679245283,31.11111111111111,38.46153846153847,24.489795918367346,21.27659574468085,27.586206896551722,30.0,35.0,26.53061224489796,21.73913043478261
Best Trade [%],464.7277133866732,178.60781358324982,154.24267984927164,124.69874599819435,565.7498334744208,464.8597057883388,175.46835217067462,166.73543271070483,124.93125889331718,565.7063182941874,464.85970578833866,464.8597057883388,169.5458820629851,175.95945427725516,124.93125889331718,565.7063182941874,464.8597057883388,169.545882062985,154.22655117871477,124.93125889331719,565.7063182941874,464.8597057883388,169.54588206298507,175.9594542772552,124.93125889331715,565.7063182941874,464.8597057883388,169.54588206298504,175.9594542772552,124.93125889331718,565.7063182941873,464.8597057883388,169.54588206298504,175.95945427725516,120.79244473595688,565.7063182941876,476.89469886861093,96.54502848162562,175.95945427725516,146.16249336061335,543.2541007318985
Worst Trade [%],-18.69449884783253,-12.544866277343719,-25.89940570259851,-25.702223880597018,-17.65263724501311,-18.436787530683365,-16.395429430027598,-21.510107209921024,-30.468526398904356,-18.490846294961436,-18.436787530683368,-18.436787530683375,-16.39542943002759,-21.510107209921028,-30.468526398904345,-18.490846294961436,-18.436787530683375,-16.3954294300276,-19.838450644747105,-30.468526398904356,-16.232871439407386,-18.436787530683375,-16.3954294300276,-25.946509959057867,-30.46852639890436,-16.448226161184728,-18.436787530683375,-16.3954294300276,-22.416325598431005,-30.468526398904356,-16.448226161184728,-18.43678753068338,-16.39542943002759,-21.510107209921028,-30.468526398904356,-19.874732311081956,-18.436787530683375,-16.39542943002759,-21.510107209921024,-30.46852639890435,-18.490846294961443
Avg Winning Trade [%],70.19729533854284,37.64546079276591,33.04265400675149,37.12543142929669,109.60461608255984,70.0786635888098,36.627335501088076,42.84708033970519,27.982626366750864,98.28114042794131,70.09170280583463,82.77824588965483,36.923801670833605,43.348436848288756,28.860511858880102,99.34180492876139,62.27660951959002,34.08478910343442,34.723361661641704,42.40592740093905,99.92232327540749,70.17238859303907,36.177472121091625,42.732597034700746,38.4697400324906,104.62949282468531,70.17238859303906,39.01489411148048,43.35270783748992,40.49390983430181,105.02365038625929,92.88905873710243,39.420075076919105,42.91535128727937,28.710448708203646,98.00789634873172,87.69386224835843,33.235964558586325,49.92410657394405,32.5703880788773,96.08437362263672
